"country";"name";"admin1";"sub_div";"year";"list";"cause";"tot_deaths"
1060;"Cape Verde";;"";2011;"103";"AAA";2521
1125;"Egypt";;;2000;"103";"AAA";382138
1300;"Mauritius";;"";2005;"104";"AAA";8422
1303;"Mayotte";;"";2011;"104";"AAA";12
1310;"Morocco";;;2000;"104";"AAA";34582
1360;"Reunion";;;2001;"104";"AAA";3695
1365;"Rodrigues";;"";2005;"104";"AAA";224
1430;"South Africa";;;1996;"103";"AAA";290833
1520;"Tunisia";;"";2009;"104";"AAA";20889
2005;"Anguilla";;;2000;"104";"AAA";72
2010;"Antigua and Barbuda";;;1998;"104";"AAA";451
2020;"Argentina";;;1997;"104";"AAA";270910
2025;"Aruba";;;1999;"104";"AAA";552
2030;"Bahamas";;;1999;"104";"AAA";1575
2040;"Barbados";;;2000;"104";"AAA";2429
2045;"Belize";;;1997;"104";"AAA";1175
2050;"Bermuda";;;1996;"104";"AAA";445
2060;"Bolivia";;;2000;"104";"AAA";21609
2070;"Brazil";;;1996;"104";"AAA";908882
2085;"British Virgin Islands";;;1996;"104";"AAA";77
2090;"Canada";;;2000;"104";"AAA";218062
2110;"Cayman Islands";;;1998;"104";"AAA";117
2120;"Chile";;;1997;"104";"AAA";78472
2130;"Colombia";;;1997;"104";"AAA";170532
2140;"Costa Rica";;;1997;"104";"AAA";14260
2150;"Cuba";;;2001;"104";"AAA";79395
2160;"Dominica";;;2001;"104";"AAA";510
2170;"Dominican Republic";;;1996;"104";"AAA";23696
2180;"Ecuador";;;1997;"104";"AAA";52054
2190;"El Salvador";;;1997;"104";"AAA";29134
2210;"French Guiana";;;2001;"104";"AAA";660
2230;"Grenada";;;2001;"104";"AAA";606
2240;"Guadeloupe";;;2000;"104";"AAA";2698
2250;"Guatemala";;"";2005;"104";"AAA";70950
2260;"Guyana";;;2001;"104";"AAA";4629
2270;"Haiti";;;1997;"104";"AAA";5253
2280;"Honduras";;"";2008;"104";"AAA";5434
2290;"Jamaica";;;2000;"104";"AAA";15779
2300;"Martinique";;;2000;"104";"AAA";2692
2310;"Mexico";;;1998;"104";"AAA";444665
2320;"Montserrat";;;1995;"104";"AAA";100
2330;"Netherlands Antilles";;;1988;"104";"AAA";971
2340;"Nicaragua";;;1997;"104";"AAA";13916
2350;"Panama";;;1998;"104";"AAA";11862
2360;"Paraguay";;;1996;"104";"AAA";17447
2370;"Peru";;;1999;"104";"AAA";86539
2380;"Puerto Rico";;;1999;"104";"AAA";28967
2385;"Saint Kitts and Nevis";;;1996;"104";"AAA";1054
2400;"Saint Lucia";;;1996;"104";"AAA";933
2410;"Saint Pierre and Miquelon";;"";2005;"104";"AAA";53
2420;"Saint Vincent and Grenadines";;;2000;"104";"AAA";701
2430;"Suriname";;;1995;"104";"AAA";1535
2440;"Trinidad and Tobago";;;1999;"104";"AAA";10014
2445;"Turks and Caicos Islands";;;1996;"104";"AAA";71
2450;"United States of America";;;1999;"104";"AAA";2391399
2455;"Virgin Islands (USA)";;;1999;"104";"AAA";659
2460;"Uruguay";;;1997;"104";"AAA";30454
2470;"Venezuela";;;1996;"104";"AAA";100045
3020;"Bahrain";;;1997;"103";"AAA";1822
3030;"Brunei Darussalam";;"";2011;"103";"AAA";1235
3080;"Cyprus";;;2004;"104";"AAA";5225
3090;"Hong Kong SAR";;;2001;"104";"AAA";33305
3130;"Iran (Islamic Republic of)";;"";2013;"103";"AAA";266115
3140;"Iraq";;"";2008;"103";"AAA";106245
3150;"Israel";;;1998;"104";"AAA";36953
3160;"Japan";;;1995;"104";"AAA";922139
3170;"Jordan";;"";2008;"104";"AAA";14355
3190;"Kuwait";;;1995;"104";"AAA";3781
3210;"Lebanon";;"";2017;"104";"AAA";15577
3236;"Malaysia";;;2000;"103";"AAA";51960
3255;"Maldives";;;2000;"103";"AAA";996
3260;"Mongolia";;"";2016;"104";"AAA";16182
3285;"Oman";;"";2010;"104";"AAA";7005
3300;"Philippines";;;1999;"104";"AAA";348028
3320;"Qatar";;;1995;"103";"AAA";1000
3325;"Republic of Korea";;;1995;"104";"AAA";238132
3340;"Saudi Arabia";;"";2009;"104";"AAA";44323
3350;"Singapore";;"";2012;"104";"AAA";17273
3365;"Sri Lanka";;"";2006;"104";"AAA";117467
3370;"Syrian Arab Republic";;"";2010;"103";"AAA";67024
3380;"Thailand";;;1994;"103";"AAA";305526
3400;"Turkey";;"";2009;"104";"AAA";281504
4007;"Armenia";;"";2006;"103";"AAA";27202
4010;"Austria";;;2002;"104";"AAA";76131
4012;"Azerbaijan";;"";2007;"103";"AAA";50439
4018;"Belarus";;"";2018;"104";"AAA";120053
4020;"Belgium";;;1998;"103";"AAA";104426
4025;"Bosnia and Herzegovina";;"";2011;"103";"AAA";35028
4030;"Bulgaria";;"";2005;"103";"AAA";113374
4038;"Croatia";;;1995;"104";"AAA";50536
4045;"Czech Republic";;;1994;"104";"AAA";117373
4050;"Denmark";;;1994;"104";"AAA";61099
4055;"Estonia";;;1997;"103";"AAA";18566
4070;"Finland";;;1996;"103";"AAA";49161
4080;"France";;;2000;"104";"AAA";530850
4084;"Georgia";;;1998;"103";"AAA";39404
4085;"Germany";;;1998;"104";"AAA";852382
4140;"Greece";;"";2014;"104";"AAA";113740
4150;"Hungary";;;1996;"104";"AAA";143130
4160;"Iceland";;;1996;"104";"AAA";1879
4170;"Ireland";;"";2007;"104";"AAA";28117
4180;"Italy";;;2003;"104";"AAA";588897
4182;"Kazakhstan";;"";2013;"103";"AAA";136261
4184;"Kyrgyzstan";;;2000;"104";"AAA";34113
4186;"Latvia";;;1996;"103";"AAA";34320
4188;"Lithuania";;;1998;"103";"AAA";40757
4190;"Luxembourg";;;1998;"104";"AAA";3743
4195;"TFYR Macedonia";;"";2006;"103";"AAA";18630
4200;"Malta";;;1995;"104";"AAA";2708
4207;"Montenegro";;;2000;"103";"AAA";5412
4210;"Netherlands";;;1996;"10M";"AAA";137561
4220;"Norway";;;1996;"104";"AAA";43919
4230;"Poland";;;1999;"104";"AAA";381415
4240;"Portugal";;;2002;"104";"AAA";106690
4260;"Republic of Moldova";;;1996;"103";"AAA";50059
4270;"Romania";;;1999;"104";"AAA";265194
4273;"Serbia";;;1998;"103";"AAA";99376
4274;"Slovakia";;;1994;"103";"AAA";51383
4276;"Slovenia";;;1997;"103";"AAA";18928
4280;"Spain";;;1999;"104";"AAA";371102
4290;"Sweden";;;1997;"10M";"AAA";93349
4300;"Switzerland";;;1995;"104";"AAA";63389
4301;"Tajikistan";;"";2016;"103";"AAA";34126
4308;"United Kingdom";;;2001;"104";"AAA";604393
4310;"United Kingdom, England and Wales";;;2001;"104";"AAA";532498
4320;"United Kingdom, Northern Ireland";;;2001;"104";"AAA";14513
4330;"United Kingdom, Scotland";;;2000;"104";"AAA";57799
4335;"Uzbekistan";;;2004;"103";"AAA";131287
4350;"Serbia and Montenegro, Former";;;1997;"104";"AAA";111845
5020;"Australia";;;1998;"104";"AAA";127358
5070;"Fiji";;;2001;"104";"AAA";5764
5105;"Kiribati";;;1999;"104";"AAA";448
5150;"New Zealand";;;2000;"104";"AAA";26718
5198;"Solomon Islands";;"";2017;"104";"AAA";418
